date,Suspended Matter,Dissolved Oxygen Matter,Temperature,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH
02-Jan-18,0.644285736,,,,,,,
03-Jan-18,0.622272785,0.567148992,6.891030601,,,,,
06-Jan-18,0.538131251,0.562346997,,,,,,
07-Jan-18,0.649144341,,,,,,,
10-Jan-18,0.599350287,,,,,,,
11-Jan-18,0.668438549,,,,,,,
14-Jan-18,0.618138008,0.532958079,,,,,,
15-Jan-18,0.638576875,0.570673319,,,,,,
18-Jan-18,0.602938534,0.505731436,,,,,,
19-Jan-18,0.613634521,0.556269841,22.11181318,,,,,
22-Jan-18,0.600570919,0.510723471,,,,,,
23-Jan-18,0.593475307,0.528796912,,,,,,
25-Jan-18,0.583809471,0.467154129,,,,,,
26-Jan-18,0.630057129,0.572351852,,,,,,
29-Jan-18,0.619226061,0.553380188,,,,,,
30-Jan-18,0.659118735,0.612792647,,,,,,
02-Feb-18,0.624288957,0.551645568,,,,,,
03-Feb-18,0.692448587,0.598561875,,,,,,
06-Feb-18,0.612153427,0.646600507,,,,,,
07-Feb-18,0.625694937,,,,,,,
10-Feb-18,0.628486522,,,,,,,
11-Feb-18,0.692516763,0.445178029,,,,,,
14-Feb-18,0.610626645,0.511090969,,,,,,
15-Feb-18,0.580775741,0.517714162,,,,,,
18-Feb-18,0.60145157,0.516348715,,,,,,
19-Feb-18,0.648363494,0.593052665,,,,,,
21-Feb-18,0.615978685,0.531547109,,,,,,
22-Feb-18,0.655057298,0.607570881,,,,,,
25-Feb-18,0.619430831,0.565532118,,,,,,
26-Feb-18,0.616159584,0.555234241,,,,,,
01-Mar-18,0.622698551,0.553823407,17.96172704,,,,,
02-Mar-18,0.636813392,0.647951998,,,,,,
05-Mar-18,0.620661449,0.579845987,,,,,,
06-Mar-18,0.581314261,0.645100849,,,,,,
09-Mar-18,0.636926022,0.609802748,,,,,,
10-Mar-18,0.648498267,0.573724382,,,,,,
13-Mar-18,0.600995004,0.509822743,,,,,,
14-Mar-18,0.634842507,0.579190831,,,,,,
17-Mar-18,0.591100424,0.492311777,34.92697221,,,,,
18-Mar-18,0.613977703,0.570673319,,,,,,
20-Mar-18,0.623762515,0.543498399,,,,,,
20-Mar-18,0.559665557,0.543498399,,,,,,
21-Mar-18,,,,,,,,
23-Mar-18,0.636779329,0.604995618,,,,,,
24-Mar-18,,,28.82412542,,,,,
25-Mar-18,0.684882081,0.673581622,,,,,,
25-Mar-18,0.633696506,0.673581622,,,,,,
25-Mar-18,,0.673581622,,,,,,
28-Mar-18,,,,,,,,
29-Mar-18,0.64946182,0.612867711,,,,,,
01-Apr-18,,,,,,,,
02-Apr-18,0.658114654,,38.18779502,,,,,
03-Apr-18,0.62865235,,,,,,,
03-Apr-18,,,,,,,,
03-Apr-18,,,,,,,,
03-Apr-18,,,,,,,,
03-Apr-18,,,,,,,,
03-Apr-18,,,,,,,,
03-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
04-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,0.68925758,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
05-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,0.62605576,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
06-Apr-18,,,,,,,,
